All,Kaikki
"The text of the link to the My Account &gt; Order by SKU page","Oman tilin linkin teksti &gt; Järjestä sivu SKU:n perusteella"
"Load a list of SKUs","Lataa tuotenumeroiden lista"
"Order by SKU Template"," Järjestä SKU:n perusteella Malli"
"Please correct the data sent.","Ole hyvä ja korjaa lähetetty tieto."
"Entity type model '%1' is not found","Entiteetin tyyppimallia '%1' ei löydy"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entiteetin tyyppimallin on oltava \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType instanssi"
"There are no product types available for export","Vietäviä tuotetyyppejä ei ole saatavilla"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 -luokka ei toteuta \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule",Myyntisääntö
"Index sales rule","Indeksoi myyntisääntö"
"Related Search Terms","Liittyviä hakutermejä"
"Add New Search Term","Lisää uusi hakutermi"
"Missing search engine parameter.","Hakumoottorin parametri puuttuu."
"Successful! Test again?","Onnistui! Testaa uudelleen?"
"Connection failed! Test again?","Yhteys epäonnistui! Testaa uudelleen?"
"Enable Search Recommendations","Ota hakusuositukset käyttöön"
"When you enable this option your site may slow down.","Kun otat tämän valinnan käyttöön, sivustosi saattaa hidastua."
"Search Recommendations Count","Hakusuositusten määrä"
"Show Results Count for Each Recommendation","Näytä tulosten määrä jokaista suositusta kohden"
"Enable Search Suggestions","Ota hakuehdotukset käyttöön"
"Search Suggestions Count","Hakuehdotusten määrä"
"Show Results Count for Each Suggestion","Näytä tulosten määrä jokaista ehdotusta kohden"
"Related search terms","Liittyviä hakutermejä"
"Did you mean",Tarkoititko
"Search Query",Hakulauseke
Store,Kauppa
Results,Tulokset
Uses,Käyttökerrat
"Redirect URL",Uudelleenohjausosoite
"Suggested Term","Suositeltu hakutermi"
Yes,Kyllä
"RPC call failed, connection timed out after %time_out.","RPC-kutsu epäonnistui, yhteys aikakatkaistiin %time_out jälkeen."
"Message has been rejected: %1","Viesti on hylätty: %1"
"Error while checking if topic is synchronous","Virhe tarkistettaessa, onko aihe on synkroninen"
"Subscription status","Tilauksen tila"
"Sorry, there has been an error processing your request. Please try again later.","Valitettavasti tapahtui virhe käsiteltäessä pyyntöä. Yritä myöhemmin uudelleen."
"Cron settings can't be saved","Cron asetuksia ei voida tallentaa"
"There was an error save new configuration value.","Tapahtui virhe tallennettaessa uutta konfiguraation arvoa."
"Please select an industry.","Valitse toimiala."
"--Please Select--",---Valitse---
"Command ""%1"" was not found.","Komentoa ""%1"" ei löytynyt."
"The ""%1"" source doesn't exist.","Lähdettä ""%1"" ei ole olemassa."
"These arguments can't be empty ""%1""","Nämä argumentit eivät olla tyhjiä ""%1"""
"Cannot find predefined integration user!","Etukäteen määritettyä integrointikäyttäjää ei löydy!"
"File is not ready yet.","Tiedosto ei ole valmis vielä."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Sinun URL on muuttunut ja raportteja päivitetään. Editynyt raportointi on saatavilla tämän prosessin päätyttyä. Yritä uudelleen myöhemmin."
"Failed to synchronize data to the Magento Business Intelligence service. ","Tietojen synkronointi epäonnistui Magento Business Intelligence palvelun välillä. "
"Retry Synchronization","Yritä synkronointia uudelleen"
TestMessage,TestiViesti
"Apps and Games","Sovellukset ja pelit"
"Athletic/Sporting Goods",Urheilutarvikkeet
"Art and Design","Taide ja design"
"Advanced Reporting","Edistynyt raportointi"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Hanki uusia näkemyksiä ja hallitse liiketoiminnan tehokkuutta dynaamisella tuotteellasi, tilauksillasi ja asiakastileillesi, jotka on räätälöity asiakastietosi mukaan."
"Go to Advanced Reporting","Mene Edistyneeseen raportointiin"
Analytics,Analytiikka
API,Rajapinta
Configuration,Konfigurointi
"Business Intelligence",Bisnesvaisto
"Advanced Reporting Service","Edistynyt raportointipalvelu"
"Time of day to send data","Datan lähetysajankohta"
Industry,Teollisuus
"In order to personalize your Advanced Reporting experience, please select your industry.","Jotta voimme optimoida edistyneen raportoinnin valitse toimiala."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Hanki lisää tietoja Magento Business Intelligence:ltä</strong>"
"Auto Parts","Auton osat"
"Baby/Children’s Apparel, Gear and Toys","Vauva/Lastenvaatteet, tarvikkeet ja lelut"
"Beauty and Cosmetics","Kauneus ja kosmetiikka"
"Books, Music and Magazines","Kirjat, musiikki ja lehdet"
"Crafts and Stationery","Käsityöt ja paperitavarat"
"Consumer Electronics",Viihde-elektroniikka
"Deal Site",Deal-sivusto
"Fashion Apparel and Accessories","Muoti Vaatteet ja tarvikkeet"
"Food, Beverage and Grocery","Ruoka, juoma ja päivittäistavarakauppa"
"Home Goods and Furniture","Kodin tavaroita ja huonekaluja"
"Home Improvement",Kodinparannus
"Jewelry and Watches","Korut ja kellot"
"Mass Merchant",Massakauppias
"Office Supplies",Toimistotarvikkeita
"Outdoor and Camping Gear","Ulkoilu- ja retkeilyvarusteet"
"Pet Goods","Lemmikkieläinten tavarat"
"Pharma and Medical Devices","Pharma ja lääkinnälliset laitteet"
"Technology B2B","Teknologia B2B"
Done,Valmis
Retry,"Yritä uudelleen"
"'Action Details - #' .","'Toiminnon tiedot - #'."
"%1 item(s) have been scheduled for update.""","%1 tuoteille on ajoitettu päivitys ”"
"Bulk Actions Log",Massatapahtumaloki
"%1 item(s) are currently being updated.","%1 tuotetta päivitetään parhaillaan."
"Task ""%1"": ","Tehtävä ""%1"": "
"%1 item(s) have been scheduled for update.","%1 tuotetta on ajoitettu päivitys."
"%1 item(s) have been successfully updated.","%1 tuotetta on päivitetty."
"%1 item(s) failed to update","%1 tuotetta ei voitu päivittää"
Details,Yksityiskohdat
"View Details","Näytä yksityiskohdat"
Dismiss,Ohita
"Pending, in queue...","Vireillä, jonossa..."
"%1 items selected for mass update","valitut joukkopäivityksen %1 osat"
", %1 successfully updated",", %1 päivitetty"
", %1 failed to update",", %1 päivitys epäonnistui"
"Something went wrong.","Jokin meni vikaan."
"Action Log",Toimintaloki
"Bulk Actions",Massatoimintoja
"Action Logs",Tapahtumalokit
"Days Saved in Log","Päivää lokissa"
"Description of Operation","Toimenpiteen kuvaus"
Summary,Yhteenveto
"Start Time",Aloitusaika
"Items to Retry","Yritä kohteita uudelleen"
"To retry, select the items and click “Retry”.","Yrittääksesi uudelleen, valitse tavarat ja valitse ""Yritä uudelleen""."
"Items That Can’t Be Updated.","Kohteet, joita ei voi päivittää."
Status,Tila
"Meta Information",Meta-tiedot
Error,Virhe
"Dismiss All Completed Tasks","Ohita kaikki suoritetut tehtävät"
"Action Details - #","Toiminnon tiedot - #"
"Number of Records Affected","Vaikuttavien tietojen määrä"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Jokin meni vikaan koottaessa sallittujen resurssien luetteloa. Löydät lisätietoja exceptions-lokista."
"You created the order.","Olet luonut tilauksen."
"Order saving error: %1","Tilauksen tallentamisen virhe: %1"
"Please choose a payment method.","Valitse maksutapa."
"We can't process your order right now. Please try again later.","Emme voi käsitellä tilaustasi juuri nyt. Yritä myöhemmin uudelleen."
"An error occurred on the server. Please try to place the order again.","Virhe palvelimella. Olkaa hyvä ja yrittäkää tilata uudelleen."
"Credit Card: xxxx-%1","Luottokortti: xxxx-%1"
"amount %1","määrä %1"
failed.,epäonnistui.
successful.,onnistui.
"Authorize.Net Transaction ID %1.","Authorize.Net-tapahtumatunnus %1."
authorize,valtuuta
"authorize and capture","valtuuta ja talteenota"
capture,talteenota
refund,hyvitä
void,mitätön
"Gateway error: %1","Gateway-virhe: %1"
"Something went wrong in the payment gateway.","Maksukäytävässä tapahtui virhe."
"Invalid amount for capture.","Virheellinen hyvityssumma."
"Payment capturing error.","Maksun talteenoton virhe."
"Invalid transaction ID.","Virheellinen tapahtumatunnus."
"Payment voiding error.","Virhe maksun mitätöinnissä."
"Invalid amount for refund.","Virheellinen hyvityssumma."
"Payment refunding error.","Virhe maksun palautuksessa."
"The transaction was declined because the response hash validation failed.","Transaktio on hylätty, koska Response Hash -validointi epäonnistui."
"This payment didn't work out because we can't find this order.","Maksu ei onnistunut, koska emme löydä tätä tilausta."
"There was a payment authorization error.","Maksutavan varmennusongelma."
"Please enter a transaction ID to authorize this payment.","Lisää maksun ID vahvistaaksesi tämä maksu."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Jotain meni pieleen: maksettu summa ei vastaa tilauksen summaa. Korjaa ja yritä uudelleen."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Tapahtuman %1 on hyväksytty. Määrä %2. Tapahtuman tila on ”%3”"
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Tapahtuman %1 on mitätöity. Tapahtuman tila on ”%2”. Summa %3."
"Authorize Only","Varmenna ainoastaan"
"Authorize and Capture","Valtuuta ja talteenota"
"Electronic payments save the trees.","Sähköiset maksut säästää puita."
"Credit Card Type",Luottokorttityyppi
"Please Select",Valitse
"Credit Card Number","Luottokortin numero"
"Expiration Date","Viimeinen voimassaolopäivä"
"Card Verification Number","Luottokortin tarkistenumero"
"Fraud Detection ","Petosten paljastaminen "
"FDS Filter Action","FDS suodatustoiminto"
"AVS Response","AVS vastaus"
"Card Code Response","Kortin koodi vastaus"
"CAVV Response","CAVV vastaus"
"Fraud Filters","Maksupetoksien suodattimet"
"Place Order","Tee tilaus"
"Sorry, but something went wrong. Please contact the seller.","Anteeksi, mutta jotain meni pieleen. Ota yhteyttä myyjään."
"Authorize.net Direct Post","Authorize.net suora viesti"
Enabled,Käytössä
"Payment Action",Maksutoiminto
Title,Otsikko
"API Login ID","API kirjautumis ID"
"Transaction Key",Maksutapahtuma-avain
"Merchant MD5","Kauppias MD5"
"New Order Status","Uuden tilauksen tila"
"Test Mode",Testitila
"Gateway URL","Yhdyskäytävän URL"
"Transaction Details URL","Maksutapahtuman tiedot URL"
"Accepted Currency","Hyväksytty valuutta"
Debug,Vianselvitys
"Email Customer","Lähettä asiakalle sähköposti"
"Merchant's Email","Myyjän sähköposti"
"Credit Card Types",Luottokorttityypit
"Credit Card Verification","Luottokortti varmennus"
"Payment from Applicable Countries","Maksu mahdollisista maista"
"Payment from Specific Countries","Maksu mahdollisista maista"
"Minimum Order Total",Vähimmäistilausmäärä
"Maximum Order Total",Maksimitilausmäärä
"Sort Order",Lajittelujärjestys
"Cannot place order.","Tilausta ei voida tehdä."
"Unable to place order. Please try again later.","Tilaus ei onnistunut. Yritä myöhemmin uudelleen."
"A server error stopped your order from being placed. Please try to place your order again.","Palvelimen virhe pysäytti tilauksen etenimisen. Yritä tilata tilauksesi uudelleen."
"The transaction details are unavailable. Please try again later.","Tapahtumatiedot eivät ole käytettävissä. Yritä myöhemmin uudelleen."
Environment,Ympäristö
"Transaction has been declined. Please try again later.","Tapahtuma on hylätty. Yritä myöhemmin uudelleen."
options,asetukset
"Select all","Valitse kaikki"
"Deselect all","Poista kaikki valinnat"
Page,Sivu
Previous,Edellinen
"You're currently reading page","Luet tällä hetkellä sivua"
Next,Seuraava
Show,Näytä
"per page","per sivu"
"%s of %s selected","%s / %s valittuna"
"This is a required field.","Tämä on pakollinen kenttä."
"B2B Features","B2B ominaisuudet"
"Invalid Form Key. Please refresh the page.","Virheellinen lomakkeen avain. Ole hyvä ja päivitä sivu."
"You entered an invalid Secret Key. Please refresh the page.","Syötit virheellisen salausavaimen. Päivitä sivu."
"Cache Storage Management","Välimuistitilan hallinta"
"Flush Magento Cache","Tyhjennä Magenton välimuisti"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Välimuistitila saattaa sisältää muitakin tietoja. Haluatko varmasti tyhjentää sen?"
"Flush Cache Storage","Tyhjennä välimuistitila"
Invalidated,Mitätöity
Orders,Tilaukset
Amounts,Määrät
Bestsellers,Myydyimmät
"Most Viewed Products","Katsotuimmat tuotteet"
"New Customers","Uudet asiakkaat"
Customer,Asiakas
Guest,Vieras
Items,Tuotteet
Total,Yhteensä
"Lifetime Sales","Kaikki myynnit"
"Average Order","Keskimääräinen tilaus"
Average,Keskiarvo
Views,Näkymät
Revenue,Tulot
Tax,Vero
Shipping,Toimitus
"Images (.gif, .jpg, .png)","Kuvat (.gif, .jpg, .png)"
"All Files","Kaikki tiedostot"
"Reset to Default","Palauta oletukset"
"All Store Views","Kaikki kauppanäkymät"
"What is this?","Mikä tämä on?"
"Save Account","Tallenna tili"
"My Account","Oma tili"
"Account Information","Tilin tiedot"
"User Name",Käyttäjänimi
"First Name",Etunimi
"Last Name",Sukunimi
Email,Sähköposti
"User Email","Käyttäjän sähköpostiosoite"
"New Password","Uusi salasana"
"Password Confirmation","Salasanan vahvistus"
"Interface Locale","Käyttöliittymän kieli"
"Current User Identity Verification","Nykyisen käyttäjän henkilöllisyyden todentaminen"
"Your Password",Salasanasi
"Save Cache Settings","Tallenna välimuistin asetukset"
"Catalog Rewrites","Luettelon uudelleenohjaukset"
Refresh,Virkistä
"Images Cache","Kuvien välimuisti"
Clear,Tyhjennä
"Search Index",Hakuindeksi
Rebuild,"Rakenna uudelleen"
"Inventory Stock Status","Varaston tilanne"
"Rebuild Catalog Index","Uudelleenrakenna luettelon indeksi"
"Rebuild Flat Catalog Category","Jälleenrakenna Flat Katalogi-kategoria"
"Rebuild Flat Catalog Product","Jälleenrakenna Flat Katalogi-tuote"
"Cache Control","Välimuistin hallinta"
"All Cache","Kaikki välimuistit"
"No change","Ei muutosta"
Disable,"Poista käytöstä"
Enable,Käytä
"Add Design Change","Lisää ulkoasun muutos"
Delete,Poista
Save,Tallenna
"Edit Design Change","Muokkaa ulkoasun muutosta"
"New Store Design Change","Uusi kaupan ulkoasun muutos"
"General Settings","Yleiset asetukset"
"-- Please Select --","--- Valitse ---"
"Custom Design","Muokattu ulkoasu"
"Date From","Pvm alkaen"
"Date To","Pvm päättyen"
"Design Change","Ulkoasun muutos"
General,Yleiset
"Delete %1 '%2'","Poista %1 '%2'"
"Delete %1","Poista %1"
"Block Information","Lohkon tiedot"
"Backup Options","Varmuuskopioinnin asetukset"
"Create DB Backup","Luo tietokannan varmuuskopio"
"Delete Store","Poista kauppa"
"Delete Web Site","Poista sivusto"
"Save Web Site","Tallenna sivusto"
"Save Store","Tallenna kauppa"
"Save Store View","Tallenna kauppanäkymä"
"Delete Store View","Poista kauppanäkymä"
"Edit Web Site","Muokkaa sivustoa"
"New Web Site","Uusi sivusto"
"Edit Store","Muokkaa kauppaa"
"New Store","Uusi kauppa"
"Edit Store View","Muokkaa kauppanäkymää"
"New Store View","Uusi kauppanäkymä"
"Store Information","Kaupan tiedot"
"Web Site",Sivusto
Name,Nimi
Code,Koodi
"Root Category",Juurikategoria
"Default Store View",Oletuskauppanäkymä
"Store View Information","Kauppanäkymän tiedot"
Disabled,"Ei käytössä"
"Web Site Information","Sivuston tiedot"
"Default Store",Oletuskauppa
"Set as Default","Aseta oletukseksi"
Stores,Kaupat
"Create Website","Luo sivusto"
"Create Store","Luo kauppa"
"Create Store View","Luo kauppanäkymä"
Home,Etusivu
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Add New Image","Lisää uusi kuva"
"Export block for grid %1 is not defined","Vientilohkoa ruudukolle %1 ei ole määritetty"
"Reset Filter","Nollaa suodatin"
Search,Haku
Any,"Mikä tahansa"
"All Countries","Kaikki maat"
From,Alkaen
To,Asti
"Date selector","Päivämäärän valitsin"
"Select All","Valitse kaikki"
"We couldn't find any records.","Yhtään tietuetta ei löytynyt."
"Add New","Lisää uusi"
"Invalid export type supplied for grid export block","Taulukosta vietävälle lohkolle on määritelty virheellinen vienti-tyyppi"
Export,Vie
"Please correct the column format and try again.","Korjaa sarakkeen muoto ja yritä uudelleen."
Submit,Lähetä
"Unknown block type","Tuntematon lohkon tyyppi"
"Please correct the tab configuration and try again. Tab Id should be not empty","Korjaa välilehden määritys ja yritä uudelleen. Välilehden tunnus ei voi olla tyhjä"
"Please correct the tab configuration and try again.","Korjaa välilehden määritys ja yritä uudelleen."
"You have logged out.","Olet kirjautunut ulos."
"The image cache was cleaned.","Kuvavälimuisti puhdistettiin."
"An error occurred while clearing the image cache.","Tapahtui virhe kuvavälimuistia tyhjennettäessä."
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS-välimuisti on puhdistettu."
"An error occurred while clearing the JavaScript/CSS cache.","Tapahtui virhe JavaScript/CSS-välimuistia tyhjennettäessä."
"The static files cache has been cleaned.","Staattisten tiedostojen välimuisti on puhdistettu."
"You flushed the cache storage.","Tyhjensit välimuistitilan."
"The Magento cache storage has been flushed.","Magenton välimuistitila on tyhjennetty."
"Cache Management","Välimuistin hallinta"
"You can't change status of cache type(s) in production mode","Välimuistityyppien tilaa ei voida muuttaa tuotantotilassa"
"%1 cache type(s) disabled.","%1 välimuistityyppi(ä) poistettu käytöstä."
"An error occurred while disabling cache.","Tapahtui virhe poistettaessa välimuistia käytöstä."
"%1 cache type(s) enabled.","%1 välimuistityyppi(ä) käytössä."
"An error occurred while enabling cache.","Tapahtui virhe otettaessa välimuistia käyttöön."
